"id-système (xml:c/@id) ";"cote (xml:unitid) ";"unittitle ";"unitdate ";" date-normalisee ";"extent ";"dimensions ";"première image";"dernière image";"Lien première image";"Lien dernière image"
"c-8gxzuftjx-1gvu4omqhldo ";"AG//SPH/39 ";"Reportage n° 1716 / Chasse en forêt de Marly-le-Roi. ";"20 septembre 1964 ";" 1964-09-20 ";"29 négatifs ";"6 x 6 cm ";"FRAN_0158_3593_L.jpg";"FRAN_0158_3621_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3593_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3621_L.jpg "
"c-8hd20819i--1h553eklotc47 ";"AG//SPH/40 ";"Reportage n° 1717 / Voyage en France de Sukarno, président d’Indonésie. ";"20 septembre 1964 ";" 1964-09-20 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_3698_L.jpg";"FRAN_0158_3702_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3698_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3702_L.jpg "
"c-8htf9kr53--jowrt1rom5v ";"AG//SPH/39 ";"Reportage n° 1718 / Remise des lettres de créance par Abdallah Salah, ambassadeur de Jordanie en France, par Willem Dirkse van Schalkwyk, ambassadeur d’Afrique du Sud en France, et par Wilmot A. David, ambassadeur du Liberia en France. ";"24 octobre 1964 ";" 1964-10-24 ";"8 négatifs ";"6 x 6 cm ";"FRAN_0158_3622_L.jpg";"FRAN_0158_3629_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3622_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3629_L.jpg "
"c-8id9k5cxw-17ctypliaalzl ";"AG//SPH/39 ";"Reportage n° 1719 / Chasse en forêt de Rambouillet. ";"27 octobre 1964 ";" 1964-10-27 ";"31 négatifs ";"6 x 6 cm ";"FRAN_0158_3630_L.jpg";"FRAN_0158_3660_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3630_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3660_L.jpg "
"c-8ivaxig9y--88tbp5euhrbw ";"AG//SPH/40 ";"Reportage n° 1720 / Voyage en France de Fra Angelo di Mojana di Cologna, prince et grand maître de l'ordre de Malte. ";"4 novembre 1964 ";" 1964-11-04 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_3703_L.jpg";"FRAN_0158_3705_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3703_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3705_L.jpg "
"c-8jafgelg4--xfnh4nucy5jh ";"AG//SPH/39-AG//SPH/40 ";"Reportage n° 1721 / Chasse en forêt de Marly-le-Roi. ";"5 novembre 1964 ";" 1964-11-05 ";"32 négatifs ";"6 x 6 cm ";"FRAN_0158_3666_L.jpg";"FRAN_0158_3697_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3666_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3697_L.jpg "
"c-8jz4r0ec8-1l97fibipmlbl ";"AG//SPH/39 ";"Reportage n° 1722 / Remise des lettres de créance par Nicolas Mondjo, ambassadeur du Congo-Brazzaville en France, et par Carlos de Miranda y Quartin, ambassadeur d’Espagne en France. ";"7 novembre 1964 ";" 1964-11-07 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_3661_L.jpg";"FRAN_0158_3665_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3661_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3665_L.jpg "
"c-8kemft3qe--vn4g9j18ww3s ";"AG//SPH/40 ";"Reportage n° 1723 / Voyage en France de Konrad Adenauer, ancien chancelier de la République fédérale d’Allemagne [RFA]. ";"9 novembre 1964 ";" 1964-11-09 ";"10 négatifs ";"6 x 6 cm ";"FRAN_0158_3706_L.jpg";"FRAN_0158_3715_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3706_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3715_L.jpg "
"c-8kv917xgt--1np8rvkadmeci ";"AG//SPH/40 ";"Reportage n° 1724 / Chasse en forêt de Rambouillet. ";"10 novembre 1964 ";" 1964-11-10 ";"32 négatifs ";"6 x 6 cm ";"FRAN_0158_3716_L.jpg";"FRAN_0158_3747_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3716_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3747_L.jpg "
"c-8lbv5tjuk-x39lu6n4q6v5 ";"AG//SPH/40 ";"Reportage n° 1725 / Chasse en forêt de Rambouillet. ";"16 novembre 1964 ";" 1964-11-16 ";"19 négatifs ";"6 x 6 cm ";"FRAN_0158_3748_L.jpg";"FRAN_0158_3766_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3748_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3766_L.jpg "
"c-8lvcpyuos--stufvlcge01m ";"AG/5(1)/1055, AG//SPH/40 ";"Reportage n° 1726 / Voyage en France de Hussein, roi de Jordanie, et de son épouse, la princesse Muna. ";"17-19 novembre 1964 ";" 0017-01-01/1964-11-19 ";"1 positif et 19 négatifs ";"6 x 6 cm ";"FRAN_0158_3767_L.jpg";"FRAN_0158_3806_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3767_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3806_L.jpg "
"c-8mch1nfnq-3r7u3svnpwij ";"AG//SPH/40 ";"Reportage n° 1727 / Chasse en forêt de Marly-le-Roi. ";"24 novembre 1964 ";" 1964-11-24 ";"21 négatifs ";"6 x 6 cm ";"FRAN_0158_3807_L.jpg";"FRAN_0158_3827_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3807_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3827_L.jpg "
